[2017-10-06 12:48:07] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/CacheController.php, In Line :155, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 14:44:02] A Error Code: 0, Message:402, In Line :130, At File:/data/web/restful/app/controller/UserController.php
[2017-10-06 14:59:07] A Error Code: 0, Message:402, In Line :130, At File:/data/web/restful/app/controller/UserController.php
[2017-10-06 14:59:07] A Error Code: 0, Message:402, In Line :130, At File:/data/web/restful/app/controller/UserController.php
[2017-10-06 14:59:07] A Error Code: 0, Message:402, In Line :130, At File:/data/web/restful/app/controller/UserController.php
[2017-10-06 15:03:37] A Error Code: 0, Message:402, In Line :130, At File:/data/web/restful/app/controller/UserController.php
[2017-10-06 15:03:37] A Error Code: 0, Message:402, In Line :130, At File:/data/web/restful/app/controller/UserController.php
[2017-10-06 15:03:38] A Error Code: 0, Message:402, In Line :130, At File:/data/web/restful/app/controller/UserController.php
[2017-10-06 15:03:49] A Error Code: 0, Message:402, In Line :130, At File:/data/web/restful/app/controller/UserController.php
[2017-10-06 15:10:18] A Error Code: 0, Message:402, In Line :130, At File:/data/web/restful/app/controller/UserController.php
[2017-10-06 15:11:34] A Error Code: 0, Message:402, In Line :130, At File:/data/web/restful/app/controller/UserController.php
[2017-10-06 15:11:34] A Error Code: 0, Message:402, In Line :130, At File:/data/web/restful/app/controller/UserController.php
[2017-10-06 15:11:34] A Error Code: 0, Message:402, In Line :130, At File:/data/web/restful/app/controller/UserController.php
[2017-10-06 15:11:34] A Error Code: 0, Message:402, In Line :130, At File:/data/web/restful/app/controller/UserController.php
[2017-10-06 15:14:01] A Error Code: 0, Message:402, In Line :130, At File:/data/web/restful/app/controller/UserController.php
[2017-10-06 15:16:54] A Error Code: 0, Message:402, In Line :130, At File:/data/web/restful/app/controller/UserController.php
[2017-10-06 15:16:54] A Error Code: 0, Message:402, In Line :130, At File:/data/web/restful/app/controller/UserController.php
[2017-10-06 15:19:05] A Error Code: 0, Message:402, In Line :130, At File:/data/web/restful/app/controller/UserController.php
[2017-10-06 15:35:14] A Error Code: 0, Message:402, In Line :130, At File:/data/web/restful/app/controller/UserController.php
[2017-10-06 15:35:14] A Error Code: 0, Message:402, In Line :130, At File:/data/web/restful/app/controller/UserController.php
[2017-10-06 15:35:14] A Error Code: 0, Message:402, In Line :130, At File:/data/web/restful/app/controller/UserController.php
[2017-10-06 15:39:24] A Error Code: 0, Message:402, In Line :130, At File:/data/web/restful/app/controller/UserController.php
[2017-10-06 15:39:24] A Error Code: 0, Message:402, In Line :130, At File:/data/web/restful/app/controller/UserController.php
[2017-10-06 15:47:06] A Error Code: 0, Message:402, In Line :130, At File:/data/web/restful/app/controller/UserController.php
[2017-10-06 15:47:06] A Error Code: 0, Message:402, In Line :130, At File:/data/web/restful/app/controller/UserController.php
[2017-10-06 15:47:06] A Error Code: 42S22, Message:SQLSTATE[42S22]: Column not found: 1054 Unknown column 'deleted' in 'where clause', In Line :120, At File:/data/web/restful/vendor/yoc/db/Command.php
[2017-10-06 15:54:39] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 15:54:39] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 15:54:39] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 15:54:39] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 15:54:39] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 15:54:39] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 15:54:39] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 15:54:39] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 15:54:39] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 15:54:39] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 15:57:32] A Error Code: 0, Message:402, In Line :130, At File:/data/web/restful/app/controller/UserController.php
[2017-10-06 15:57:32] A Error Code: 0, Message:402, In Line :130, At File:/data/web/restful/app/controller/UserController.php
[2017-10-06 15:58:32] A Error Code: 0, Message:402, In Line :130, At File:/data/web/restful/app/controller/UserController.php
[2017-10-06 15:58:32] A Error Code: 0, Message:402, In Line :130, At File:/data/web/restful/app/controller/UserController.php
[2017-10-06 16:06:14] A Error Code: 0, Message:402, In Line :130, At File:/data/web/restful/app/controller/UserController.php
[2017-10-06 16:10:20] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 16:10:20] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 16:10:20] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 16:10:20] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 16:10:20] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 16:10:20] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 16:10:20] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 16:10:20] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 16:10:20] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 16:10:20] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 16:11:40] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 16:11:40] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 16:11:40] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 16:11:40] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 16:11:40] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 16:11:40] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 16:11:40] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 16:11:40] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 16:11:40] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 16:11:40] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 16:14:21] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 16:14:21] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 16:14:21] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 16:14:21] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 16:14:21] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 16:14:21] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 16:14:21] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 16:14:21] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 16:14:21] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 16:14:21] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 16:17:54] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 16:17:54] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 16:17:54] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 16:17:54] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 16:17:54] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 16:17:54] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 16:17:54] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 16:17:54] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 16:17:54] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 16:17:54] A Error Code: 0, Message:unknown device on the request, In Line :42, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-06 16:18:13] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :162, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:18:13] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :162, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:18:13] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :162, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:18:13] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :162, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:18:13] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :162, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:18:13] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :162, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:18:13] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :162, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:18:13] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :162, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:18:13] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :162, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:18:13] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :162, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:18:55] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :162, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:18:55] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :162, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:18:55] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :162, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:18:55] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :162, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:18:55] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :162, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:18:55] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :162, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:18:55] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :162, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:18:55] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :162, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:18:55] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :162, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:18:55] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :162, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:20:09] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :162, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:20:09] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :162, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:20:09] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :162, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:20:09] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :162, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:20:09] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :162, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:20:09] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :162, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:20:09] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :162, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:20:09] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :162, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:20:09] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :162, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:20:09] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :162, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:20:26] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :155, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:20:26] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :155, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:20:26] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :155, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:20:26] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :155, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:20:26] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :155, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:20:26] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :155, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:20:26] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :155, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:20:26] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :155, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:20:26] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :155, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:20:26] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :155, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:22:28] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:22:28] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:22:28] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:22:28] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:22:28] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:22:28] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:22:28] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:22:28] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:22:28] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:22:28] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:22:28] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:22:28] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:22:28] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:22:28] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:22:28] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:22:28] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:22:28] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:22:28] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:23:37] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:23:37] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:23:37] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:23:37] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:23:37] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:23:37] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:23:37] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:23:37] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:23:37] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:23:37] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:23:37] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:23:37] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:23:37] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:23:37] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:23:37] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:23:37] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:23:37] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:23:37] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:23:37] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:23:37] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:24:02] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:24:50] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:24:50] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:24:50] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:24:50] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-06 16:24:50] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/FileController.php, In Line :153, At File:/data/web/restful/vendor/yoc/base/Server.php
