[2017-10-04 00:01:52] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 03:46:54] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 03:46:54] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 03:46:55] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 03:46:55] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 03:46:56] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 03:46:56] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 03:46:57] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 03:46:57] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 03:46:58] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 03:46:58] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 03:46:59] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 03:46:59] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 03:47:00] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 03:47:00] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 03:47:01] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 03:47:01] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 03:47:02] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 03:47:02] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 03:47:03] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 03:47:03] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 03:53:37] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 03:53:44] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 03:53:49] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 03:56:29] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 03:56:29] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 03:56:29] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 03:56:37] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 03:56:45] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 04:01:41] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 04:01:41] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 04:02:30] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 04:02:30] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 04:02:30] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 04:02:30] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 04:10:22] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 04:11:21] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 04:11:21] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 04:16:06] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 04:16:38] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 04:18:16] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 04:19:54] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 04:21:08] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 04:23:41] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 04:24:34] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 04:29:10] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 04:31:43] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 04:34:08] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 04:35:04] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 04:39:39] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 04:39:47] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 04:42:03] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 04:47:01] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 04:53:18] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 04:55:02] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 04:57:53] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 05:07:32] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 05:08:06] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 05:11:36] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 05:11:57] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 05:12:12] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 05:13:24] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 05:17:13] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 05:17:20] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 05:18:35] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 05:26:01] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 05:26:20] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 05:32:58] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 05:33:04] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 05:33:14] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 05:33:17] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 05:33:23] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 05:34:31] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 05:35:43] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 05:36:53] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 05:38:14] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 05:38:49] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 05:45:43] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 05:48:08] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 05:54:36] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 05:56:06] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 05:57:46] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 06:02:30] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 06:15:03] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 06:15:53] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 06:19:39] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 06:28:21] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 06:29:35] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 06:29:45] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 06:30:45] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 06:33:15] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 06:34:10] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 06:36:10] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 06:36:28] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 06:37:46] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 06:39:16] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 07:18:07] A Error Code: 8, Message:Trying to get property of non-object, In Line :111, At File:/data/web/restful/app/controller/FriendGroupController.php
[2017-10-04 07:18:07] A Error Code: 8, Message:PDO::getAttribute(): send of 5 bytes failed with errno=32 Broken pipe, In Line :143, At File:/data/web/restful/vendor/yoc/db/Connect.php
[2017-10-04 07:18:07] A Error Code: 2, Message:Error while sending STATISTICS packet. PID=24940, In Line :143, At File:/data/web/restful/vendor/yoc/db/Connect.php
[2017-10-04 07:18:12] A Error Code: 2, Message:Declaration of app\components\ActiveController::beforeAction($request) should be compatible with yoc\base\Controller::beforeAction(yoc\http\Request $request), In Line :140, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-04 09:13:32] A Error Code: 2, Message:Declaration of app\components\ActiveController::beforeAction($request) should be compatible with yoc\base\Controller::beforeAction(yoc\http\Request $request), In Line :140, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-04 09:24:14] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 09:42:59] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 10:20:59] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 10:32:10] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 11:52:19] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 13:20:56] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 13:23:48] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 13:37:57] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 13:56:04] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 14:05:08] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 14:29:34] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 15:21:24] A Error Code: 8, Message:Trying to get property of non-object, In Line :111, At File:/data/web/restful/app/controller/FriendGroupController.php
[2017-10-04 15:56:46] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 16:41:51] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 16:41:51] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 16:41:51] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 16:55:10] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 16:59:29] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 17:00:57] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 19:44:00] A Error Code: 2, Message:Declaration of app\components\ActiveController::beforeAction($request) should be compatible with yoc\base\Controller::beforeAction(yoc\http\Request $request), In Line :140, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-04 19:47:34] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 19:49:21] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 19:53:08] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 20:08:35] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 20:47:48] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 21:43:20] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 22:01:13] A Error Code: 8, Message:Undefined index: request-ip, In Line :66, At File:/data/web/restful/vendor/yoc/http/Input.php
[2017-10-04 23:30:20] A Error Code: 2, Message:Declaration of app\components\ActiveController::beforeAction($request) should be compatible with yoc\base\Controller::beforeAction(yoc\http\Request $request), In Line :140, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-04 23:30:20] A Error Code: 2, Message:Declaration of app\components\ActiveController::beforeAction($request) should be compatible with yoc\base\Controller::beforeAction(yoc\http\Request $request), In Line :140, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-04 23:30:20] A Error Code: 2, Message:Declaration of app\components\ActiveController::beforeAction($request) should be compatible with yoc\base\Controller::beforeAction(yoc\http\Request $request), In Line :140, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-04 23:30:20] A Error Code: 2, Message:Declaration of app\components\ActiveController::beforeAction($request) should be compatible with yoc\base\Controller::beforeAction(yoc\http\Request $request), In Line :140, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-04 23:30:26] A Error Code: 8, Message:Array to string conversion, In Line :32, At File:/data/web/restful/vendor/yoc/validate/DatetimeValidate.php
[2017-10-04 23:30:27] A Error Code: 8, Message:Array to string conversion, In Line :32, At File:/data/web/restful/vendor/yoc/validate/DatetimeValidate.php
